性别,项目,类型,保持者,代表队,成绩,日期,地点
男,50米自由泳,世界纪录,César Cielo,巴西,20.91,2009-12-18,圣保罗
男,100米自由泳,世界纪录,潘展乐,中国,46.40,2024-07-31,巴黎
男,200米自由泳,世界纪录,Paul Biedermann,德国,1:42.00,2009-07-28,罗马
男,400米自由泳,世界纪录,Lukas Märtens,德国,3:39.96,2025-04-12,布达佩斯
男,800米自由泳,世界纪录,张琳,中国,7:31.12,2009-07-29,罗马
男,1500米自由泳,世界纪录,Bobby Finke,美国,14:30.67,2024-08-04,巴黎
男,50米仰泳,世界纪录,Kliment Kolesnikov,俄罗斯,23.55,2023-07-27,福冈
男,100米仰泳,世界纪录,Thomas Ceccon,意大利,51.60,2022-06-20,布达佩斯
男,200米仰泳,世界纪录,Aaron Peirsol,美国,1:51.92,2009-07-31,罗马
男,50米蛙泳,世界纪录,Adam Peaty,英国,25.95,2017-07-25,布达佩斯
男,100米蛙泳,世界纪录,Adam Peaty,英国,56.88,2019-07-21,光州
男,200米蛙泳,世界纪录,覃海洋,中国,2:05.48,2023-07-28,福冈
男,50米蝶泳,世界纪录,Andrii Govorov,乌克兰,22.27,2018-07-01,罗马
男,100米蝶泳,世界纪录,Caeleb Dressel,美国,49.45,2021-07-31,东京
男,200米蝶泳,世界纪录,Kristóf Milák,匈牙利,1:50.34,2022-06-21,布达佩斯
男,200米个人混合泳,世界纪录,Léon Marchand,法国,1:52.69,2025-07-30,新加坡
男,400米个人混合泳,世界纪录,Léon Marchand,法国,4:02.50,2023-07-23,福冈
男,4×100米自由泳接力,世界纪录,美国队,美国,3:08.24,2008-08-11,北京
男,4×200米自由泳接力,世界纪录,美国队,美国,6:58.55,2009-07-31,罗马
男,4×100米混合泳接力,世界纪录,美国队,美国,3:26.78,2021-08-01,东京
女,50米自由泳,世界纪录,Sarah Sjöström,瑞典,23.61,2023-07-29,福冈
女,100米自由泳,世界纪录,Sarah Sjöström,瑞典,51.71,2017-07-23,布达佩斯
女,200米自由泳,世界纪录,Ariarne Titmus,澳大利亚,1:52.23,2024-06-12,布里斯班
女,400米自由泳,世界纪录,Summer McIntosh,加拿大,3:54.18,2025-06-07,多伦多
女,800米自由泳,世界纪录,Katie Ledecky,美国,8:04.12,2025-05-03,印第安纳波利斯
女,1500米自由泳,世界纪录,Katie Ledecky,美国,15:20.48,2018-05-16,印第安纳波利斯
女,50米仰泳,世界纪录,Kaylee McKeown,澳大利亚,26.86,2023-10-20,柏林
女,100米仰泳,世界纪录,Regan Smith,美国,57.13,2024-06-18,印第安纳波利斯
女,200米仰泳,世界纪录,Kaylee McKeown,澳大利亚,2:03.14,2023-03-10,墨尔本
女,50米蛙泳,世界纪录,Rūta Meilutytė,立陶宛,29.16,2023-07-30,福冈
女,100米蛙泳,世界纪录,Lilly King,美国,1:04.13,2017-07-25,布达佩斯
女,200米蛙泳,世界纪录,Evgeniia Chikunova,俄罗斯,2:17.55,2023-04-21,喀山
女,50米蝶泳,世界纪录,Sarah Sjöström,瑞典,24.43,2014-07-05,博洛斯
女,100米蝶泳,世界纪录,Gretchen Walsh,美国,54.60,2025-05-03,印第安纳波利斯
女,200米蝶泳,世界纪录,刘子歌,中国,2:01.81,2009-10-21,济南
女,200米个人混合泳,世界纪录,Summer McIntosh,加拿大,2:05.70,2025-06-09,多伦多
女,400米个人混合泳,世界纪录,Summer McIntosh,加拿大,4:23.65,2025-06-11,多伦多
女,4×100米自由泳接力,世界纪录,澳大利亚队,澳大利亚,3:27.96,2023-07-23,福冈
女,4×200米自由泳接力,世界纪录,澳大利亚队,澳大利亚,7:37.50,2023-07-27,福冈
女,4×100米混合泳接力,世界纪录,美国队,美国,3:49.34,2025-08-03,新加坡
混合,4×100米自由泳接力,世界纪录,美国队,美国,3:18.48,2025-08-02,新加坡
混合,4×100米混合泳接力,世界纪录,美国队,美国,3:37.43,2024-08-03,巴黎
男,50米自由泳,奥运会纪录,,,,,,
男,100米自由泳,奥运会纪录,,,,,,
男,200米自由泳,奥运会纪录,,,,,,
男,400米自由泳,奥运会纪录,,,,,,
男,800米自由泳,奥运会纪录,,,,,,
男,1500米自由泳,奥运会纪录,,,,,,
男,50米仰泳,奥运会纪录,,,,,,
男,100米仰泳,奥运会纪录,,,,,,
男,200米仰泳,奥运会纪录,,,,,,
男,50米蛙泳,奥运会纪录,,,,,,
男,100米蛙泳,奥运会纪录,,,,,,
男,200米蛙泳,奥运会纪录,,,,,,
男,50米蝶泳,奥运会纪录,,,,,,
男,100米蝶泳,奥运会纪录,,,,,,
男,200米蝶泳,奥运会纪录,,,,,,
男,200米个人混合泳,奥运会纪录,,,,,,
男,400米个人混合泳,奥运会纪录,,,,,,
男,4×100米自由泳接力,奥运会纪录,,,,,,
男,4×200米自由泳接力,奥运会纪录,,,,,,
男,4×100米混合泳接力,奥运会纪录,,,,,,
女,50米自由泳,奥运会纪录,,,,,,
女,100米自由泳,奥运会纪录,,,,,,
女,200米自由泳,奥运会纪录,,,,,,
女,400米自由泳,奥运会纪录,,,,,,
女,800米自由泳,奥运会纪录,,,,,,
女,1500米自由泳,奥运会纪录,,,,,,
女,50米仰泳,奥运会纪录,,,,,,
女,100米仰泳,奥运会纪录,,,,,,
女,200米仰泳,奥运会纪录,,,,,,
女,50米蛙泳,奥运会纪录,,,,,,
女,100米蛙泳,奥运会纪录,,,,,,
女,200米蛙泳,奥运会纪录,,,,,,
女,50米蝶泳,奥运会纪录,,,,,,
女,100米蝶泳,奥运会纪录,,,,,,
女,200米蝶泳,奥运会纪录,,,,,,
女,200米个人混合泳,奥运会纪录,,,,,,
女,400米个人混合泳,奥运会纪录,,,,,,
女,4×100米自由泳接力,奥运会纪录,,,,,,
女,4×200米自由泳接力,奥运会纪录,,,,,,
女,4×100米混合泳接力,奥运会纪录,,,,,,
混合,4×100米自由泳接力,奥运会纪录,,,,,,
混合,4×100米混合泳接力,奥运会纪录,,,,,,
男,50米自由泳,亚洲纪录,,,,,,
男,100米自由泳,亚洲纪录,,,,,,
男,200米自由泳,亚洲纪录,,,,,,
男,400米自由泳,亚洲纪录,,,,,,
男,800米自由泳,亚洲纪录,,,,,,
男,1500米自由泳,亚洲纪录,,,,,,
男,50米仰泳,亚洲纪录,,,,,,
男,100米仰泳,亚洲纪录,,,,,,
男,200米仰泳,亚洲纪录,,,,,,
男,50米蛙泳,亚洲纪录,,,,,,
男,100米蛙泳,亚洲纪录,,,,,,
男,200米蛙泳,亚洲纪录,,,,,,
男,50米蝶泳,亚洲纪录,,,,,,
男,100米蝶泳,亚洲纪录,,,,,,
男,200米蝶泳,亚洲纪录,,,,,,
男,200米个人混合泳,亚洲纪录,,,,,,
男,400米个人混合泳,亚洲纪录,,,,,,
男,4×100米自由泳接力,亚洲纪录,,,,,,
男,4×200米自由泳接力,亚洲纪录,,,,,,
男,4×100米混合泳接力,亚洲纪录,,,,,,
女,50米自由泳,亚洲纪录,,,,,,
女,100米自由泳,亚洲纪录,,,,,,
女,200米自由泳,亚洲纪录,,,,,,
女,400米自由泳,亚洲纪录,,,,,,
女,800米自由泳,亚洲纪录,,,,,,
女,1500米自由泳,亚洲纪录,,,,,,
女,50米仰泳,亚洲纪录,,,,,,
女,100米仰泳,亚洲纪录,,,,,,
女,200米仰泳,亚洲纪录,,,,,,
女,50米蛙泳,亚洲纪录,,,,,,
女,100米蛙泳,亚洲纪录,,,,,,
女,200米蛙泳,亚洲纪录,,,,,,
女,50米蝶泳,亚洲纪录,,,,,,
女,100米蝶泳,亚洲纪录,,,,,,
女,200米蝶泳,亚洲纪录,,,,,,
女,200米个人混合泳,亚洲纪录,,,,,,
女,400米个人混合泳,亚洲纪录,,,,,,
女,4×100米自由泳接力,亚洲纪录,,,,,,
女,4×200米自由泳接力,亚洲纪录,,,,,,
女,4×100米混合泳接力,亚洲纪录,,,,,,
男,50米自由泳,亚洲青年纪录,,,,,,
男,100米自由泳,亚洲青年纪录,,,,,,
男,200米自由泳,亚洲青年纪录,,,,,,
男,400米自由泳,亚洲青年纪录,,,,,,
男,800米自由泳,亚洲青年纪录,,,,,,
男,1500米自由泳,亚洲青年纪录,,,,,,
男,50米仰泳,亚洲青年纪录,,,,,,
男,100米仰泳,亚洲青年纪录,,,,,,
男,200米仰泳,亚洲青年纪录,,,,,,
男,50米蛙泳,亚洲青年纪录,,,,,,
男,100米蛙泳,亚洲青年纪录,,,,,,
男,200米蛙泳,亚洲青年纪录,,,,,,
男,50米蝶泳,亚洲青年纪录,,,,,,
男,100米蝶泳,亚洲青年纪录,,,,,,
男,200米蝶泳,亚洲青年纪录,,,,,,
男,200米个人混合泳,亚洲青年纪录,,,,,,
男,400米个人混合泳,亚洲青年纪录,,,,,,
男,4×100米自由泳接力,亚洲青年纪录,,,,,,
男,4×200米自由泳接力,亚洲青年纪录,,,,,,
男,4×100米混合泳接力,亚洲青年纪录,,,,,,
女,50米自由泳,亚洲青年纪录,,,,,,
女,100米自由泳,亚洲青年纪录,,,,,,
女,200米自由泳,亚洲青年纪录,,,,,,
女,400米自由泳,亚洲青年纪录,,,,,,
女,800米自由泳,亚洲青年纪录,,,,,,
女,1500米自由泳,亚洲青年纪录,,,,,,
女,50米仰泳,亚洲青年纪录,,,,,,
女,100米仰泳,亚洲青年纪录,,,,,,
女,200米仰泳,亚洲青年纪录,,,,,,
女,50米蛙泳,亚洲青年纪录,,,,,,
女,100米蛙泳,亚洲青年纪录,,,,,,
女,200米蛙泳,亚洲青年纪录,,,,,,
女,50米蝶泳,亚洲青年纪录,,,,,,
女,100米蝶泳,亚洲青年纪录,,,,,,
女,200米蝶泳,亚洲青年纪录,,,,,,
女,200米个人混合泳,亚洲青年纪录,,,,,,
女,400米个人混合泳,亚洲青年纪录,,,,,,
女,4×100米自由泳接力,亚洲青年纪录,,,,,,
女,4×200米自由泳接力,亚洲青年纪录,,,,,,
女,4×100米混合泳接力,亚洲青年纪录,,,,,,
男,50米自由泳,全国纪录,,,,,,
男,100米自由泳,全国纪录,,,,,,
男,200米自由泳,全国纪录,,,,,,
男,400米自由泳,全国纪录,,,,,,
男,800米自由泳,全国纪录,,,,,,
男,1500米自由泳,全国纪录,,,,,,
男,50米仰泳,全国纪录,,,,,,
男,100米仰泳,全国纪录,,,,,,
男,200米仰泳,全国纪录,,,,,,
男,50米蛙泳,全国纪录,,,,,,
男,100米蛙泳,全国纪录,,,,,,
男,200米蛙泳,全国纪录,,,,,,
男,50米蝶泳,全国纪录,,,,,,
男,100米蝶泳,全国纪录,,,,,,
男,200米蝶泳,全国纪录,,,,,,
男,200米个人混合泳,全国纪录,,,,,,
男,400米个人混合泳,全国纪录,,,,,,
男,4×100米自由泳接力,全国纪录,,,,,,
男,4×200米自由泳接力,全国纪录,,,,,,
男,4×100米混合泳接力,全国纪录,,,,,,
女,50米自由泳,全国纪录,,,,,,
女,100米自由泳,全国纪录,,,,,,
女,200米自由泳,全国纪录,,,,,,
女,400米自由泳,全国纪录,,,,,,
女,800米自由泳,全国纪录,,,,,,
女,1500米自由泳,全国纪录,,,,,,
女,50米仰泳,全国纪录,,,,,,
女,100米仰泳,全国纪录,,,,,,
女,200米仰泳,全国纪录,,,,,,
女,50米蛙泳,全国纪录,,,,,,
女,100米蛙泳,全国纪录,,,,,,
女,200米蛙泳,全国纪录,,,,,,
女,50米蝶泳,全国纪录,,,,,,
女,100米蝶泳,全国纪录,,,,,,
女,200米蝶泳,全国纪录,,,,,,
女,200米个人混合泳,全国纪录,,,,,,
女,400米个人混合泳,全国纪录,,,,,,
女,4×100米自由泳接力,全国纪录,,,,,,
女,4×200米自由泳接力,全国纪录,,,,,,
女,4×100米混合泳接力,全国纪录,,,,,,
男,50米自由泳,省运会纪录,,,,,,
男,100米自由泳,省运会纪录,,,,,,
男,200米自由泳,省运会纪录,,,,,,
男,400米自由泳,省运会纪录,,,,,,
男,800米自由泳,省运会纪录,,,,,,
男,1500米自由泳,省运会纪录,,,,,,
男,50米仰泳,省运会纪录,,,,,,
男,100米仰泳,省运会纪录,,,,,,
男,200米仰泳,省运会纪录,,,,,,
男,50米蛙泳,省运会纪录,,,,,,
男,100米蛙泳,省运会纪录,,,,,,
男,200米蛙泳,省运会纪录,,,,,,
男,50米蝶泳,省运会纪录,,,,,,
男,100米蝶泳,省运会纪录,,,,,,
男,200米蝶泳,省运会纪录,,,,,,
男,200米个人混合泳,省运会纪录,,,,,,
男,400米个人混合泳,省运会纪录,,,,,,
男,4×100米自由泳接力,省运会纪录,,,,,,
男,4×200米自由泳接力,省运会纪录,,,,,,
男,4×100米混合泳接力,省运会纪录,,,,,,
女,50米自由泳,省运会纪录,,,,,,
女,100米自由泳,省运会纪录,,,,,,
女,200米自由泳,省运会纪录,,,,,,
女,400米自由泳,省运会纪录,,,,,,
女,800米自由泳,省运会纪录,,,,,,
女,1500米自由泳,省运会纪录,,,,,,
女,50米仰泳,省运会纪录,,,,,,
女,100米仰泳,省运会纪录,,,,,,
女,200米仰泳,省运会纪录,,,,,,
女,50米蛙泳,省运会纪录,,,,,,
女,100米蛙泳,省运会纪录,,,,,,
女,200米蛙泳,省运会纪录,,,,,,
女,50米蝶泳,省运会纪录,,,,,,
女,100米蝶泳,省运会纪录,,,,,,
女,200米蝶泳,省运会纪录,,,,,,
女,200米个人混合泳,省运会纪录,,,,,,
女,400米个人混合泳,省运会纪录,,,,,,
女,4×100米自由泳接力,省运会纪录,,,,,,
女,4×200米自由泳接力,省运会纪录,,,,,,
女,4×100米混合泳接力,省运会纪录,,,,,,
男,50米自由泳,赛会纪录,,,,,,
男,100米自由泳,赛会纪录,,,,,,
男,200米自由泳,赛会纪录,,,,,,
男,400米自由泳,赛会纪录,,,,,,
男,800米自由泳,赛会纪录,,,,,,
男,1500米自由泳,赛会纪录,,,,,,
男,50米仰泳,赛会纪录,,,,,,
男,100米仰泳,赛会纪录,,,,,,
男,200米仰泳,赛会纪录,,,,,,
男,50米蛙泳,赛会纪录,,,,,,
男,100米蛙泳,赛会纪录,,,,,,
男,200米蛙泳,赛会纪录,,,,,,
男,50米蝶泳,赛会纪录,,,,,,
男,100米蝶泳,赛会纪录,,,,,,
男,200米蝶泳,赛会纪录,,,,,,
男,200米个人混合泳,赛会纪录,,,,,,
男,400米个人混合泳,赛会纪录,,,,,,
男,4×100米自由泳接力,赛会纪录,,,,,,
男,4×200米自由泳接力,赛会纪录,,,,,,
男,4×100米混合泳接力,赛会纪录,,,,,,
女,50米自由泳,赛会纪录,,,,,,
女,100米自由泳,赛会纪录,,,,,,
女,200米自由泳,赛会纪录,,,,,,
女,400米自由泳,赛会纪录,,,,,,
女,800米自由泳,赛会纪录,,,,,,
女,1500米自由泳,赛会纪录,,,,,,
女,50米仰泳,赛会纪录,,,,,,
女,100米仰泳,赛会纪录,,,,,,
女,200米仰泳,赛会纪录,,,,,,
女,50米蛙泳,赛会纪录,,,,,,
女,100米蛙泳,赛会纪录,,,,,,
女,200米蛙泳,赛会纪录,,,,,,
女,50米蝶泳,赛会纪录,,,,,,
女,100米蝶泳,赛会纪录,,,,,,
女,200米蝶泳,赛会纪录,,,,,,
女,200米个人混合泳,赛会纪录,,,,,,
女,400米个人混合泳,赛会纪录,,,,,,
女,4×100米自由泳接力,赛会纪录,,,,,,
女,4×200米自由泳接力,赛会纪录,,,,,,
女,4×100米混合泳接力,赛会纪录,,,,,,
