时序编号,事件描述,MB1_左,MB2_左,MB3_左,SB_左,TP_左,名次,成绩_左,圈数_左,方向,圈数_右,成绩_右,TP_右,SB_右,MB1_右,MB2_右,MB3_右
T0,Ready (准备 / 发令前),,,,,,,,,,,,,,,,
T1.1,棒1 SB 按下 (右 SB 触发),,,,,,,,,,,,,,,,
T1.2,棒1 SB 延迟关 (CloseDelay 后),,,,,,,,,,,,,,,,
T1.3,棒1 第1段 TP (左 TP 触发, 50m),,,,,,,,,,,,,,,,
T1.4,棒1 第2段 TP (右 TP 触发, 100m),,,,,,,,,,,,,,,,
T1.5,棒1 第3段 TP (左 TP 触发, 150m),,,,,,,,,,,,,,,,
T1.6,棒1 完成 TP (右 TP 触发, 200m),,,,,,,,,,,,,,,,
T2.1,棒2 SB 按下 (右 SB 触发, 200m 处),,,,,,,,,,,,,,,,
T2.2,棒2 SB 延迟关,,,,,,,,,,,,,,,,
T2.3,棒2 第1段 TP (左 TP 触发, 250m),,,,,,,,,,,,,,,,
T2.4,棒2 第2段 TP (右 TP 触发, 300m),,,,,,,,,,,,,,,,
T2.5,棒2 第3段 TP (左 TP 触发, 350m),,,,,,,,,,,,,,,,
T2.6,棒2 完成 TP (右 TP 触发, 400m),,,,,,,,,,,,,,,,
T3.1,棒3 SB 按下 (右 SB 触发, 400m 处),,,,,,,,,,,,,,,,
T3.2,棒3 SB 延迟关,,,,,,,,,,,,,,,,
T3.3,棒3 第1段 TP (左 TP 触发, 450m),,,,,,,,,,,,,,,,
T3.4,棒3 第2段 TP (右 TP 触发, 500m),,,,,,,,,,,,,,,,
T3.5,棒3 第3段 TP (左 TP 触发, 550m),,,,,,,,,,,,,,,,
T3.6,棒3 完成 TP (右 TP 触发, 600m),,,,,,,,,,,,,,,,
T4.1,棒4 SB 按下 (右 SB 触发, 600m 处),,,,,,,,,,,,,,,,
T4.2,棒4 SB 延迟关,,,,,,,,,,,,,,,,
T4.3,棒4 第1段 TP (左 TP 触发, 650m),,,,,,,,,,,,,,,,
T4.4,棒4 第2段 TP (右 TP 触发, 700m),,,,,,,,,,,,,,,,
T4.5,棒4 第3段 TP (左 TP 触发, 750m),,,,,,,,,,,,,,,,
T4.6,棒4 完成 TP (右 TP 触发, 800m, 终点),,,,,,,,,,,,,,,,
Tend,比赛结束,,,,,,,,,,,,,,,,
Treset,Reset / 切下一组,,,,,,,,,,,,,,,,
