发令点在,左边,,,,,,,,,,,,,,,,
时序编号,事件描述,MB1_左,MB2_左,MB3_左,SB_左,TP_左,名次,成绩_左,圈数_左,方向,圈数_右,成绩_右,TP_右,SB_右,MB1_右,MB2_右,MB3_右
T0,Ready (准备 / 发令前),灰,灰,灰,开/绿,灰,空,空,2,不显,2,空,灰,灰,灰,灰,灰
T1.1,棒1 SB 按下 (左 SB 触发),灰,灰,灰,红(Touched),灰,空,空,2,→,2,空,灰,灰,灰,灰,灰
T1.2,棒1 SB 延迟关 (CloseDelay 后),灰,灰,灰,关/灰,灰,空, 棒1反应时,2,→,2,空,灰,灰,灰,灰,灰
T1.3,棒1 泳道打开 (泳道关闭时间=0 50m),灰,灰,灰,灰,灰,空,空,2,→,2,空,开/黄,开/绿,开/黄,开/黄,开/黄
T1.4,棒1 完成 TP (右 TP 触发 50m),灰,灰,灰,灰,灰,数字,空,2,→,1,棒1成绩,红(Touched),开/绿,红(Touched),红(Touched),红(Touched)
T2.1,棒2 SB 按下 (右 SB 触发 50m 处),灰,灰,灰,灰,灰, ,,2,←,1, ,关/灰,红(Touched),关/灰,关/灰,关/灰
T2.2,棒2 SB 延迟关,灰,灰,灰,灰,灰,空,空,2,←,1, 棒2反应时,灰,关/灰,灰,灰,灰
T2.3,棒2 泳道打开 (泳道关闭时间=0 100m),开/黄,开/黄,开/黄,开/绿,开/黄,空,空,2,←,1,空,灰,灰,灰,灰,灰
T2.4,棒2 完成 TP (左 TP 触发 100m),红(Touched),红(Touched),红(Touched),开/绿,红(Touched),数字,棒2成绩,1,←,1,空,灰,灰,灰,灰,灰
T3.1,棒3 SB 按下 (左 SB 触发 100m 处),关/灰,关/灰,关/灰,红(Touched),关/灰, ,,1,→,1,空,灰,灰,灰,灰,灰
T3.2,棒3 SB 延迟关,灰,灰,灰,灰,灰,空, 棒3反应时,1,→,1,空,灰,灰,灰,灰,灰
T3.3,棒3 泳道打开 (泳道关闭时间=0 150m),灰,灰,灰,灰,灰,空,空,1,→,1,空,开/黄,开/绿,开/黄,开/黄,开/黄
T3.4,棒3 完成 TP (右 TP 触发 150m),灰,灰,灰,灰,灰,数字,空,1,→,0,棒3成绩,红(Touched),开/绿,红(Touched),红(Touched),红(Touched)
T4.1,棒4 SB 按下 (右 SB 触发 150m 处),灰,灰,灰,灰,灰, ,空,1,←,0, ,关/灰,红(Touched),关/灰,关/灰,关/灰
T4.2,棒4 SB 延迟关,灰,灰,灰,灰,灰,空,空,1,←,0, 棒4反应时,灰,关/灰,灰,灰,灰
T4.3,棒4 泳道打开 (泳道关闭时间=0 终点),开/黄,开/黄,开/黄,灰,开/黄,空,空,1,←,0,空,灰,灰,灰,灰,灰
T4.4,棒4 完成 TP (左 TP 触发 200m 终点),红(Touched),红(Touched),红(Touched),灰,红(Touched),数字,棒4成绩,0,不显,0,空,灰,灰,灰,灰,灰
Tend,比赛结束 (= 棒4 完成 TP 后保持),关/灰,关/灰,关/灰,灰,保持,数字,数字,0,不显,0,空,灰,灰,灰,灰,灰
Treset,Reset / 切下一组,灰,灰,灰,灰,灰,空,空,空,不显,空,空,灰,灰,灰,灰,灰
