发令点在,左边 (PC端 4x50 接力, 50m 池, 5道示意),,,,,,,,,,,,,,,,,
时序编号,事件描述,MB1_左,MB2_左,MB3_左,SB_左,TP_左,名次,成绩_左,圈数_左,方向,圈数_右,成绩_右,TP_右,SB_右,MB1_右,MB2_右,MB3_右,PC 与 硬件 差异
T0,Ready (准备 / 发令前),Closed(灰),Closed(灰),Closed(灰),Open(绿),Closed(灰),空,空,2,不显,2,空,Closed(灰),Closed(灰),Closed(灰),Closed(灰),Closed(灰),一致
T1.1,棒1 SB 按下 (左 SB 触发),Closed(灰),Closed(灰),Closed(灰),Touched(红),Closed(灰),空,空,2,→,2,空,Closed(灰),Closed(灰),Closed(灰),Closed(灰),Closed(灰),"PC 同时设 laneState.ReactionTime 字段, 检查 < FalseStartThreshold 标 IsSuspectFalseStart=true (Hw 无此中间状态)"
T1.2,棒1 SB 延迟关 (StartBlockCloseDelay 后),Closed(灰),Closed(灰),Closed(灰),Closed(灰),Closed(灰),空, 棒1反应时,2,→,2,空,Closed(灰),Closed(灰),Closed(灰),Closed(灰),Closed(灰),"PC 通过 EnterStartBlockTouchedThenClose 一次性 DispatcherTimer 自动转 Closed"
T1.3,棒1 泳道打开 (LaneCloseTime=0 触发右端各设备 Open),Closed(灰),Closed(灰),Closed(灰),Closed(灰),Closed(灰),空,空,2,→,2,空,Open(黄),Open(绿),Open(黄),Open(黄),Open(黄),一致 (CountdownTimer Tick 把右端打开)
T1.4,棒1 完成 TP (右 TP 触发 50m),Closed(灰),Closed(灰),Closed(灰),Closed(灰),Closed(灰),数字(=1),空,2,→,1,棒1成绩 (split.TouchpadTime),Touched(红),Open(绿),Touched(红),Touched(红),Touched(红),"PC 在 ProcessTouchpadHit 里: CurrentLap=1, Direction 翻转 → ""←"", PreCreateSplit 给棒2, 触发 FirstPlaceHold 显示窗口, 接力棒次记 split.TimingSource=""TP"". (Hw 不分概念上的 TP/MB/Manual 来源)"
T2.1,棒2 SB 按下 (右 SB 触发 50m 处),Closed(灰),Closed(灰),Closed(灰),Closed(灰),Closed(灰),数字保持,空,2,←,1,棒1成绩保持,Closed(灰),Touched(红),Closed(灰),Closed(灰),Closed(灰),"PC 在交接棒后 capCloseLeft 算下棒侧, 启动 sbCloseTimer (StartBlockCloseDelay)"
T2.2,棒2 SB 延迟关,Closed(灰),Closed(灰),Closed(灰),Closed(灰),Closed(灰),空,空,2,←,1, 棒2反应时,Closed(灰),Closed(灰),Closed(灰),Closed(灰),Closed(灰),一致
T2.3,棒2 泳道打开 (LaneCloseTime=0 触发左端各设备 Open),Open(黄),Open(黄),Open(黄),Open(绿),Open(黄),空,空,2,←,1,空,Closed(灰),Closed(灰),Closed(灰),Closed(灰),Closed(灰),一致
T2.4,棒2 完成 TP (左 TP 触发 100m),Touched(红),Touched(红),Touched(红),Open(绿),Touched(红),数字(=1),棒2成绩 (split.TouchpadTime),1,←,1,空,Closed(灰),Closed(灰),Closed(灰),Closed(灰),Closed(灰),"PC: CurrentLap=2, Direction 翻 → ""→"". 接力 ReactionCalculator (= 棒次 reaction 14 条规则) 此处对 TP 算下棒 SB reaction 基准"
T3.1,棒3 SB 按下 (左 SB 触发 100m 处),Closed(灰),Closed(灰),Closed(灰),Touched(红),Closed(灰),数字保持,空,1,→,1,空,Closed(灰),Closed(灰),Closed(灰),Closed(灰),Closed(灰),"一致 (与 T1.1 同款 但 Lap/Direction 已变)"
